Mode,Sparsity,Train_Acc_Mean,Test_Acc_Mean,Acc_Gap_Mean,F1_Gap_Mean,Train_Acc_Formatted,Test_Acc_Formatted,Acc_Gap_Formatted
MBPA,90.0%,0.9866800000000001,0.7524666666666667,0.2342133333333333,0.2345532934151572,98.67%,75.25%,23.42%
RIGL,90.0%,0.9850866666666667,0.7495666666666666,0.23551999999999995,0.23566111783681543,98.51%,74.96%,23.55%
SET,90.0%,0.9868399999999999,0.7505000000000001,0.23634000000000002,0.2366000042534028,98.68%,75.05%,23.63%
MBPA,95.0%,0.9542266666666667,0.7357999999999999,0.21842666666666666,0.21881124239785554,95.42%,73.58%,21.84%
RIGL,95.0%,0.9523266666666667,0.7352,0.21712666666666666,0.21724747092194163,95.23%,73.52%,21.71%
SET,95.0%,0.9521533333333334,0.7367,0.2154533333333333,0.21543968652862833,95.22%,73.67%,21.55%
MBPA,98.0%,0.8618866666666666,0.7091,0.15278666666666663,0.15281934751066586,86.19%,70.91%,15.28%
RIGL,98.0%,0.8688933333333333,0.7120000000000001,0.15689333333333333,0.15717467879610006,86.89%,71.2%,15.69%
SET,98.0%,0.8573400000000001,0.7056666666666667,0.15167333333333335,0.15185207593872685,85.73%,70.57%,15.17%
MBPA,99.0%,0.7727133333333334,0.6693333333333333,0.10337999999999999,0.10352229703390396,77.27%,66.93%,10.34%
RIGL,99.0%,0.7869666666666667,0.6781333333333334,0.10883333333333327,0.10902651697120669,78.7%,67.81%,10.88%
SET,99.0%,0.7660866666666667,0.6652,0.10088666666666668,0.10135883330900634,76.61%,66.52%,10.09%
MBPA,99.5%,0.6716266666666666,0.6063999999999999,0.06522666666666666,0.06520016931952373,67.16%,60.64%,6.52%
RIGL,99.5%,0.6995,0.6261666666666666,0.07333333333333332,0.07364447376072421,69.95%,62.62%,7.33%
SET,99.5%,0.6593933333333334,0.5950666666666667,0.06432666666666664,0.06448569394673294,65.94%,59.51%,6.43%